,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),Display Value,Numeric,Low,High
38,MALARIA_CONF_CASES,Number of confirmed malaria cases,2017.0,2017,WPR,Western Pacific,,VNM,2017,2017,Viet Nam,4 548,4548.00000,,
39,MALARIA_CONF_CASES,Number of confirmed malaria cases,2019.0,2019,WPR,Western Pacific,,VNM,2019,2019,Viet Nam,4 765,4765.00000,,
40,MALARIA_CONF_CASES,Number of confirmed malaria cases,2007.0,2007,WPR,Western Pacific,,VNM,2007,2007,Viet Nam,16 389,16389.00000,,
41,MALARIA_CONF_CASES,Number of confirmed malaria cases,2009.0,2009,WPR,Western Pacific,,VNM,2009,2009,Viet Nam,16 130,16130.00000,,
42,MALARIA_CONF_CASES,Number of confirmed malaria cases,2013.0,2013,WPR,Western Pacific,,VNM,2013,2013,Viet Nam,17 128,17128.00000,,
43,MALARIA_CONF_CASES,Number of confirmed malaria cases,2003.0,2003,WPR,Western Pacific,,VNM,2003,2003,Viet Nam,38 790,38790.00000,,
44,MALARIA_CONF_CASES,Number of confirmed malaria cases,2014.0,2014,WPR,Western Pacific,,VNM,2014,2014,Viet Nam,15 752,15752.00000,,
45,MALARIA_CONF_CASES,Number of confirmed malaria cases,2004.0,2004,WPR,Western Pacific,,VNM,2004,2004,Viet Nam,24 909,24909.00000,,
46,MALARIA_CONF_CASES,Number of confirmed malaria cases,2018.0,2018,WPR,Western Pacific,,VNM,2018,2018,Viet Nam,4 813,4813.00000,,
47,MALARIA_CONF_CASES,Number of confirmed malaria cases,2008.0,2008,WPR,Western Pacific,,VNM,2008,2008,Viet Nam,11 355,11355.00000,,
48,MALARIA_CONF_CASES,Number of confirmed malaria cases,2012.0,2012,WPR,Western Pacific,,VNM,2012,2012,Viet Nam,19 638,19638.00000,,
49,MALARIA_CONF_CASES,Number of confirmed malaria cases,2016.0,2016,WPR,Western Pacific,,VNM,2016,2016,Viet Nam,4 161,4161.00000,,
50,MALARIA_CONF_CASES,Number of confirmed malaria cases,2002.0,2002,WPR,Western Pacific,,VNM,2002,2002,Viet Nam,47 807,47807.00000,,
51,MALARIA_CONF_CASES,Number of confirmed malaria cases,2006.0,2006,WPR,Western Pacific,,VNM,2006,2006,Viet Nam,22 637,22637.00000,,
53,MALARIA_CONF_CASES,Number of confirmed malaria cases,2015.0,2015,WPR,Western Pacific,,VNM,2015,2015,Viet Nam,9 331,9331.00000,,
54,MALARIA_CONF_CASES,Number of confirmed malaria cases,2010.0,2010,WPR,Western Pacific,,VNM,2010,2010,Viet Nam,17 515,17515.00000,,
55,MALARIA_CONF_CASES,Number of confirmed malaria cases,2000.0,2000,WPR,Western Pacific,,VNM,2000,2000,Viet Nam,74 316,74316.00000,,
56,MALARIA_CONF_CASES,Number of confirmed malaria cases,2005.0,2005,WPR,Western Pacific,,VNM,2005,2005,Viet Nam,19 496,19496.00000,,
57,MALARIA_CONF_CASES,Number of confirmed malaria cases,2021.0,2021,WPR,Western Pacific,,VNM,2021,2021,Viet Nam,467,467.00000,,
59,MALARIA_CONF_CASES,Number of confirmed malaria cases,2001.0,2001,WPR,Western Pacific,,VNM,2001,2001,Viet Nam,68 699,68699.00000,,
82,MALARIA_CONF_CASES,Number of confirmed malaria cases,2020.0,2020,WPR,Western Pacific,,VNM,2020,2020,Viet Nam,1 422,1422.00000,,
115,MALARIA_CONF_CASES,Number of confirmed malaria cases,2011.0,2011,WPR,Western Pacific,,VNM,2011,2011,Viet Nam,16 612,16612.00000,,
