,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
1936,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,422.1 [240.6-675.9],422.05510,240.6106,675.8837,,,
1937,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2007.0,2007,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,444.8 [279.3-667.6],444.84900,279.2735,667.5606,,,
1938,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,445.6 [273.7-682.3],445.64400,273.6998,682.2881,,,
1939,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,788.7 [489.9-1165.4],788.70140,489.8864,1165.426,,,
1940,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,784.2 [462.0-1210.9],784.17600,462.0072,1210.897,,,
1941,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,587.2 [359.3-889.5],587.19260,359.3423,889.5413,,,
1942,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,587.9 [366.4-878.4],587.87570,366.3779,878.3517,,,
1943,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,782.9 [474.6-1180.3],782.94470,474.5808,1180.347,,,
1944,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,776.4 [453.4-1204.9],776.41550,453.3699,1204.875,,,
1945,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,428.3 [249.9-675.0],428.26990,249.8894,675.0381,,,
1946,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,790.1 [495.9-1159.1],790.05870,495.9193,1159.122,,,
1947,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,596.1 [377.8-878.4],596.07280,377.8021,878.4122,,,
1948,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,441.9 [276.7-663.1],441.91130,276.6934,663.1054,,,
1949,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,443.9 [277.3-669.9],443.87860,277.331,669.8582,,,
1950,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,807.7 [512.4-1175.9],807.73680,512.359,1175.894,,,
2343,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,457.4 [272.4-719.3],457.39570,272.44,719.3311,,,
2344,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,589.5 [358.0-899.2],589.51350,358.0276,899.2202,,,
2345,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,579.5 [339.2-905.0],579.48890,339.1549,905.0328,,,
2346,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,784.8 [483.6-1166.6],784.77510,483.5903,1166.588,,,
2347,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,595.3 [372.5-885.4],595.25080,372.475,885.4265,,,
2348,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,590.2 [355.6-906.6],590.22990,355.563,906.598,,,
2349,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,436.6 [265.2-670.8],436.61450,265.1765,670.7989,,,
2350,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,452.2 [271.2-706.0],452.15620,271.2386,705.9609,,,
2351,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,800.9 [485.4-1210.4],800.87190,485.419,1210.421,,,
2352,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,796.3 [478.1-1211.2],796.30280,478.1207,1211.153,,,
2353,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,594.8 [368.2-891.4],594.80940,368.2052,891.4278,,,
2354,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2009.0,2009,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,443.6 [278.4-663.2],443.60220,278.4344,663.171,,,
2355,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,805.8 [497.9-1197.4],805.80360,497.8676,1197.412,,,
2356,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,588.5 [363.3-885.8],588.46790,363.306,885.7534,,,
2357,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,592.2 [362.7-894.9],592.16800,362.6588,894.8661,,,
2358,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,569.4 [326.9-900.9],569.41750,326.9084,900.8939,,,
2749,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,589.6 [357.5-898.7],589.61180,357.5294,898.7305,,,
2750,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,790.5 [470.1-1212.6],790.52220,470.1141,1212.628,,,
2751,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,792.3 [501.1-1155.1],792.28980,501.0991,1155.072,,,
2752,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,443.9 [274.9-674.6],443.93720,274.9037,674.5634,,,
2753,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,781.7 [470.0-1186.1],781.70540,470.0126,1186.095,,,
2754,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2007.0,2007,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,800.2 [509.2-1161.4],800.24820,509.2226,1161.413,,,
2755,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,575.2 [333.3-904.8],575.17370,333.3499,904.8394,,,
