,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
1951,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1993.0,1993,WPR,Western Pacific,,,1993,1993,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.73 [1.1-4.54],2.72990,1.10013,4.536,,,
1952,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1995.0,1995,WPR,Western Pacific,,,1995,1995,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.64 [1.22-4.17],2.64247,1.21953,4.16792,,,
1953,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.31 [1.35-3.19],2.30977,1.35445,3.19176,,,
1954,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.22 [1.36-2.97],2.22294,1.35818,2.97242,,,
1955,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.95 [1.5-2.38],1.94682,1.5032,2.38459,,,
1956,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.88 [1.49-2.29],1.88243,1.48642,2.29211,,,
1957,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.71 [1.22-2.35],1.71312,1.22334,2.35022,,,
1958,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2020.0,2020,WPR,Western Pacific,,,2020,2020,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.64 [1.1-2.43],1.63531,1.10173,2.43192,,,
2359,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1994.0,1994,WPR,Western Pacific,,,1994,1994,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.69 [1.16-4.35],2.68736,1.16261,4.34583,,,
2360,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),1996.0,1996,WPR,Western Pacific,,,1996,1996,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.59 [1.27-4.01],2.59454,1.2714,4.00938,,,
2361,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.27 [1.35-3.07],2.26529,1.34736,3.07345,,,
2362,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,2.18 [1.38-2.87],2.17790,1.37782,2.86865,,,
2363,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.98 [1.5-2.45],1.98054,1.49596,2.45176,,,
2364,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.91 [1.5-2.33],1.91425,1.5032,2.32897,,,
2365,CHILDMORT_MORTALITY_10TO14,Mortality rate among children ages 10 to 14 years (per 1000 children aged 10),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,,,,BTSX,Both sexes,,,,,,,,1.67 [1.16-2.39],1.67447,1.1613,2.38947,,,
