,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
411,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2020.0,2020,WPR,Western Pacific,,,2020,2020,,,VNM,Viet Nam,8600 [5500-12000],8600.00000,5500.0,12000.0,,,
413,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2021.0,2021,WPR,Western Pacific,,,2021,2021,,,VNM,Viet Nam,9100 [5800-13000],9100.00000,5800.0,13000.0,,,
414,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,9400 [5900-14000],9400.00000,5900.0,14000.0,,,
415,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,10000 [6600-15000],10000.00000,6600.0,15000.0,,,
417,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,11000 [7300-16000],11000.00000,7300.0,16000.0,,,
419,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2022.0,2022,WPR,Western Pacific,,,2022,2022,,,VNM,Viet Nam,11000 [7600-15000],11000.00000,7600.0,15000.0,,,
420,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,13000 [8200-18000],13000.00000,8200.0,18000.0,,,
421,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,14000 [9100-19000],14000.00000,9100.0,19000.0,,,
422,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,15000 [9700-21000],15000.00000,9700.0,21000.0,,,
423,TB_e_mort_exc_tbhiv_num,"Number of deaths due to tuberculosis, excluding HIV",2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,15000 [10000-21000],15000.00000,10000.0,21000.0,,,
