,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
318,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2020.0,2020,WPR,Western Pacific,,,2020,2020,,,VNM,Viet Nam,8.90 [5.70-13.00],8.90000,5.7,13.0,,,
319,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2021.0,2021,WPR,Western Pacific,,,2021,2021,,,VNM,Viet Nam,9.40 [6.00-14.00],9.40000,6.0,14.0,,,
320,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,9.80 [6.10-14.00],9.80000,6.1,14.0,,,
322,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,11 [7-16],11.00000,7.0,16.0,,,
324,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2022.0,2022,WPR,Western Pacific,,,2022,2022,,,VNM,Viet Nam,11 [7.7-15],11.00000,7.7,15.0,,,
325,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,12 [7.8-17],12.00000,7.8,17.0,,,
327,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,13 [8.8-19],13.00000,8.8,19.0,,,
328,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2015.0,2015,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,15 [9.9-21],15.00000,9.9,21.0,,,
329,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,17 [11-24],17.00000,11.0,24.0,,,
330,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2013.0,2013,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,17 [11-24],17.00000,11.0,24.0,,,
331,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2014.0,2014,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,16 [11-23],16.00000,11.0,23.0,,,
332,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2011.0,2011,WPR,Western Pacific,,,2011,2011,,,VNM,Viet Nam,19 [13-27],19.00000,13.0,27.0,,,
333,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2009.0,2009,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,22 [14-32],22.00000,14.0,32.0,,,
334,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,21 [14-30],21.00000,14.0,30.0,,,
335,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,23 [15-33],23.00000,15.0,33.0,,,
336,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,26 [16-39],26.00000,16.0,39.0,,,
337,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2007.0,2007,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,25 [16-36],25.00000,16.0,36.0,,,
338,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,28 [17-43],28.00000,17.0,43.0,,,
339,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,28 [17-43],28.00000,17.0,43.0,,,
341,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,32 [19-48],32.00000,19.0,48.0,,,
342,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,32 [19-48],32.00000,19.0,48.0,,,
344,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,35 [21-53],35.00000,21.0,53.0,,,
347,MDG_0000000017,Deaths due to tuberculosis among HIV-negative people (per 100 000 population),2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,37 [22-55],37.00000,22.0,55.0,,,
