,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
390,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,14000 [2400-34000],14000.00000,2400.0,34000.0,,,
391,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,12000 [2400-31000],12000.00000,2400.0,31000.0,,,
392,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,15000 [2500-40000],15000.00000,2500.0,40000.0,,,
393,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,12000 [2500-29000],12000.00000,2500.0,29000.0,,,
394,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,12000 [2600-29000],12000.00000,2600.0,29000.0,,,
395,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2022.0,2022,WPR,Western Pacific,,,2022,2022,,,VNM,Viet Nam,4300 [2900-6100],4300.00000,2900.0,6100.0,,,
396,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,13000 [2900-30000],13000.00000,2900.0,30000.0,,,
397,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2021.0,2021,WPR,Western Pacific,,,2021,2021,,,VNM,Viet Nam,5100 [3300-7400],5100.00000,3300.0,7400.0,,,
398,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,14000 [3300-31000],14000.00000,3300.0,31000.0,,,
399,TB_e_inc_tbhiv_num,"Number of incident tuberculosis cases,  (HIV-positive cases)",2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,5500 [3500-8000],5500.00000,3500.0,8000.0,,,
