,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
298,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2022.0,2022,WPR,Western Pacific,,,2022,2022,,,VNM,Viet Nam,4.40 [2.90-6.20],4.40000,2.9,6.2,,,
299,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2002.0,2002,WPR,Western Pacific,,,2002,2002,,,VNM,Viet Nam,15 [2.9-38],15.00000,2.9,38.0,,,
300,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,17 [3-43],17.00000,3.0,43.0,,,
301,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,15 [3-36],15.00000,3.0,36.0,,,
302,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2000.0,2000,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,19 [3.2-50],19.00000,3.2,50.0,,,
303,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2004.0,2004,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,15 [3.2-35],15.00000,3.2,35.0,,,
304,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2021.0,2021,WPR,Western Pacific,,,2021,2021,,,VNM,Viet Nam,5.30 [3.40-7.50],5.30000,3.4,7.5,,,
305,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2005.0,2005,WPR,Western Pacific,,,2005,2005,,,VNM,Viet Nam,15 [3.5-36],15.00000,3.5,36.0,,,
306,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,5.80 [3.70-8.30],5.80000,3.7,8.3,,,
307,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2020.0,2020,WPR,Western Pacific,,,2020,2020,,,VNM,Viet Nam,5.80 [3.70-8.40],5.80000,3.7,8.4,,,
308,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2016.0,2016,WPR,Western Pacific,,,2016,2016,,,VNM,Viet Nam,6.40 [3.90-9.60],6.40000,3.9,9.6,,,
309,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2018.0,2018,WPR,Western Pacific,,,2018,2018,,,VNM,Viet Nam,6.20 [3.90-9.10],6.20000,3.9,9.1,,,
310,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2006.0,2006,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,16 [3.9-37],16.00000,3.9,37.0,,,
311,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2017.0,2017,WPR,Western Pacific,,,2017,2017,,,VNM,Viet Nam,6.90 [4.30-10.00],6.90000,4.3,10.0,,,
312,TB_e_inc_tbhiv_100k,Incidence of tuberculosis (per 100 000 population) (HIV-positive cases),2008.0,2008,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,9.20 [4.30-16.00],9.20000,4.3,16.0,,,
