,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
125,TB_e_prev_num,Number of prevalent tuberculosis cases,1990.0,1990,WPR,Western Pacific,,WB_LMI,1990,1990,Lower-middle-income,,VNM,Viet Nam, 380 000 [ 160 000- 710 000],380000.00000,160000.0,710000.0,,,
126,TB_e_prev_num,Number of prevalent tuberculosis cases,1991.0,1991,WPR,Western Pacific,,WB_LMI,1991,1991,Lower-middle-income,,VNM,Viet Nam, 380 000 [ 160 000- 690 000],380000.00000,160000.0,690000.0,,,
127,TB_e_prev_num,Number of prevalent tuberculosis cases,1992.0,1992,WPR,Western Pacific,,WB_LMI,1992,1992,Lower-middle-income,,VNM,Viet Nam, 370 000 [ 160 000- 670 000],370000.00000,160000.0,670000.0,,,
128,TB_e_prev_num,Number of prevalent tuberculosis cases,1993.0,1993,WPR,Western Pacific,,WB_LMI,1993,1993,Lower-middle-income,,VNM,Viet Nam, 360 000 [ 150 000- 650 000],360000.00000,150000.0,650000.0,,,
129,TB_e_prev_num,Number of prevalent tuberculosis cases,1994.0,1994,WPR,Western Pacific,,WB_LMI,1994,1994,Lower-middle-income,,VNM,Viet Nam, 350 000 [ 150 000- 630 000],350000.00000,150000.0,630000.0,,,
130,TB_e_prev_num,Number of prevalent tuberculosis cases,1995.0,1995,WPR,Western Pacific,,WB_LMI,1995,1995,Lower-middle-income,,VNM,Viet Nam, 340 000 [ 150 000- 610 000],340000.00000,150000.0,610000.0,,,
131,TB_e_prev_num,Number of prevalent tuberculosis cases,1996.0,1996,WPR,Western Pacific,,WB_LMI,1996,1996,Lower-middle-income,,VNM,Viet Nam, 330 000 [ 150 000- 580 000],330000.00000,150000.0,580000.0,,,
132,TB_e_prev_num,Number of prevalent tuberculosis cases,1997.0,1997,WPR,Western Pacific,,WB_LMI,1997,1997,Lower-middle-income,,VNM,Viet Nam, 320 000 [ 140 000- 560 000],320000.00000,140000.0,560000.0,,,
133,TB_e_prev_num,Number of prevalent tuberculosis cases,1998.0,1998,WPR,Western Pacific,,WB_LMI,1998,1998,Lower-middle-income,,VNM,Viet Nam, 300 000 [ 140 000- 540 000],300000.00000,140000.0,540000.0,,,
134,TB_e_prev_num,Number of prevalent tuberculosis cases,1999.0,1999,WPR,Western Pacific,,WB_LMI,1999,1999,Lower-middle-income,,VNM,Viet Nam, 290 000 [ 130 000- 520 000],290000.00000,130000.0,520000.0,,,
135,TB_e_prev_num,Number of prevalent tuberculosis cases,2000.0,2000,WPR,Western Pacific,,WB_LMI,2000,2000,Lower-middle-income,,VNM,Viet Nam, 280 000 [ 130 000- 500 000],280000.00000,130000.0,500000.0,,,
136,TB_e_prev_num,Number of prevalent tuberculosis cases,2001.0,2001,WPR,Western Pacific,,WB_LMI,2001,2001,Lower-middle-income,,VNM,Viet Nam, 270 000 [ 120 000- 480 000],270000.00000,120000.0,480000.0,,,
137,TB_e_prev_num,Number of prevalent tuberculosis cases,2002.0,2002,WPR,Western Pacific,,WB_LMI,2002,2002,Lower-middle-income,,VNM,Viet Nam, 260 000 [ 120 000- 460 000],260000.00000,120000.0,460000.0,,,
138,TB_e_prev_num,Number of prevalent tuberculosis cases,2003.0,2003,WPR,Western Pacific,,WB_LMI,2003,2003,Lower-middle-income,,VNM,Viet Nam, 260 000 [ 120 000- 450 000],260000.00000,120000.0,450000.0,,,
