GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,#indicator+value+num,,,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,67 [49-81],67.00000,49.00000,81.00000,,,
MDG_0000000030,Smear-positive tuberculosis case-detection rate (%),,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,VNM,Viet Nam,,62 [45-75],62.00000,45.00000,75.00000,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1990,1990,,WPR,Western Pacific,,WB_LI,1990,1990,Low-income,,VNM,Viet Nam,,50203,50203.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1991,1991,,WPR,Western Pacific,,WB_LI,1991,1991,Low-income,,VNM,Viet Nam,,59784,59784.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1993,1993,,WPR,Western Pacific,,WB_LI,1993,1993,Low-income,,VNM,Viet Nam,,52994,52994.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1994,1994,,WPR,Western Pacific,,WB_LI,1994,1994,Low-income,,VNM,Viet Nam,,51763,51763.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1996,1996,,WPR,Western Pacific,,WB_LI,1996,1996,Low-income,,VNM,Viet Nam,,74711,74711.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1997,1997,,WPR,Western Pacific,,WB_LI,1997,1997,Low-income,,VNM,Viet Nam,,77838,77838.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1998,1998,,WPR,Western Pacific,,WB_LI,1998,1998,Low-income,,VNM,Viet Nam,,87468,87468.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,1999,1999,,WPR,Western Pacific,,WB_LI,1999,1999,Low-income,,VNM,Viet Nam,,88879,88879.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,WB_LI,2000,2000,Low-income,,VNM,Viet Nam,,89792,89792.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,WB_LI,2001,2001,Low-income,,VNM,Viet Nam,,90728,90728.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2002,2002,,WPR,Western Pacific,,WB_LI,2002,2002,Low-income,,VNM,Viet Nam,,95044,95044.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,WB_LI,2004,2004,Low-income,,VNM,Viet Nam,,98173,98173.00000,,,,,
TB_tot_newrel,Tuberculosis - new and relapse cases (TB_c_newinc),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/333,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,WB_LI,2005,2005,Low-income,,VNM,Viet Nam,,94916,94916.00000,,,,,
