,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),Display Value,Numeric,Low,High
77,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2013.0,2013,WPR,Western Pacific,,VNM,2013,2013,Viet Nam,34 [17-53],34.00000,17.0,53.0
78,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2015.0,2015,WPR,Western Pacific,,VNM,2015,2015,Viet Nam,16 [7-24],16.00000,7.0,24.0
79,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2016.0,2016,WPR,Western Pacific,,VNM,2016,2016,Viet Nam,7 [3-12],7.00000,3.0,12.0
80,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2012.0,2012,WPR,Western Pacific,,VNM,2012,2012,Viet Nam,41 [20-63],41.00000,20.0,63.0
81,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2009.0,2009,WPR,Western Pacific,,VNM,2009,2009,Viet Nam,47 [22-76],47.00000,22.0,76.0
83,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2010.0,2010,WPR,Western Pacific,,VNM,2010,2010,Viet Nam,45 [21-71],45.00000,21.0,71.0
84,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2000.0,2000,WPR,Western Pacific,,VNM,2000,2000,Viet Nam,421 [190-730],421.00000,190.0,730.0
85,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2007.0,2007,WPR,Western Pacific,,VNM,2007,2007,Viet Nam,53 [25-86],53.00000,25.0,86.0
86,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2003.0,2003,WPR,Western Pacific,,VNM,2003,2003,Viet Nam,197 [92-340],197.00000,92.0,340.0
87,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2008.0,2008,WPR,Western Pacific,,VNM,2008,2008,Viet Nam,37 [17-60],37.00000,17.0,60.0
88,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2006.0,2006,WPR,Western Pacific,,VNM,2006,2006,Viet Nam,92 [43-150],92.00000,43.0,150.0
89,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2005.0,2005,WPR,Western Pacific,,VNM,2005,2005,Viet Nam,79 [38-130],79.00000,38.0,130.0
90,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2004.0,2004,WPR,Western Pacific,,VNM,2004,2004,Viet Nam,115 [54-200],115.00000,54.0,200.0
91,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2001.0,2001,WPR,Western Pacific,,VNM,2001,2001,Viet Nam,380 [180-650],380.00000,180.0,650.0
92,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2002.0,2002,WPR,Western Pacific,,VNM,2002,2002,Viet Nam,271 [120-460],271.00000,120.0,460.0
93,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2017.0,2017,WPR,Western Pacific,,VNM,2017,2017,Viet Nam,9 [4-14],9.00000,4.0,14.0
94,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2018.0,2018,WPR,Western Pacific,,VNM,2018,2018,Viet Nam,6 [2-9],6.00000,2.0,9.0
95,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2019.0,2019,WPR,Western Pacific,,VNM,2019,2019,Viet Nam,6 [3-10],6.00000,3.0,10.0
96,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2020.0,2020,WPR,Western Pacific,,VNM,2020,2020,Viet Nam,2 [1-3],2.00000,1.0,3.0
97,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2021.0,2021,WPR,Western Pacific,,VNM,2021,2021,Viet Nam,0,0.00000,,
116,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2014.0,2014,WPR,Western Pacific,,VNM,2014,2014,Viet Nam,29 [14-44],29.00000,14.0,44.0
117,MALARIA_EST_DEATHS,Estimated number of malaria deaths,2011.0,2011,WPR,Western Pacific,,VNM,2011,2011,Viet Nam,36 [17-56],36.00000,17.0,56.0
