,GHO (CODE),GHO (DISPLAY),YEAR (CODE),YEAR (DISPLAY),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
2004,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1969.0,1969,WPR,Western Pacific,,,1969,1969,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,48.33 [42.23-55.4],48.33256,42.23132,55.39953,,,
2005,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1971.0,1971,WPR,Western Pacific,,,1971,1971,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,47.64 [42.44-53.66],47.63575,42.44298,53.65752,,,
2006,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1976.0,1976,WPR,Western Pacific,,,1976,1976,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,44.72 [40.72-49.07],44.72009,40.71756,49.06504,,,
2007,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1978.0,1978,WPR,Western Pacific,,,1978,1978,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,42.98 [39.28-46.89],42.98343,39.28322,46.88791,,,
2008,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1985.0,1985,WPR,Western Pacific,,,1985,1985,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,37.33 [34.51-40.3],37.32680,34.5143,40.30478,,,
2009,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1987.0,1987,WPR,Western Pacific,,,1987,1987,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,35.45 [32.79-38.31],35.44965,32.78796,38.3134,,,
2010,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1994.0,1994,WPR,Western Pacific,,,1994,1994,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,26.41 [24.27-28.66],26.40631,24.27102,28.66233,,,
2011,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1996.0,1996,WPR,Western Pacific,,,1996,1996,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,23.97 [21.59-26.42],23.96584,21.59419,26.41542,,,
2012,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2001.0,2001,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,19.23 [16.36-21.92],19.23372,16.35713,21.92353,,,
2013,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2003.0,2003,WPR,Western Pacific,,,2003,2003,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,17.95 [15.15-20.62],17.95328,15.15348,20.61652,,,
2014,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2010.0,2010,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,15.74 [14.26-17.21],15.74198,14.25932,17.21189,,,
2015,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2012.0,2012,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,15.44 [14.28-16.63],15.43750,14.28108,16.63169,,,
2016,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2019.0,2019,WPR,Western Pacific,,,2019,2019,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,14.47 [13.21-15.84],14.47346,13.21078,15.84368,,,
2017,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),2021.0,2021,WPR,Western Pacific,,,2021,2021,,,VNM,Viet Nam,,,,FMLE,Female,,,,,,,,14.16 [12.45-16.19],14.15893,12.44948,16.19083,,,
2018,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1968.0,1968,WPR,Western Pacific,,,1968,1968,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,62.24 [54.06-71.92],62.24276,54.05916,71.91864,,,
2019,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1970.0,1970,WPR,Western Pacific,,,1970,1970,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,61.21 [54.36-69.17],61.20518,54.35643,69.16566,,,
2020,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1977.0,1977,WPR,Western Pacific,,,1977,1977,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,55.71 [51.12-60.83],55.70676,51.11556,60.8312,,,
2021,MDG_0000000001,Infant mortality rate (between birth and 11 months per 1000 live births),1979.0,1979,WPR,Western Pacific,,,1979,1979,,,VNM,Viet Nam,,,,MLE,Male,,,,,,,,53.74 [49.61-58.3],53.74268,49.61169,58.30163,,,
