GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
#indicator+code,#indicator+name,#indicator+url,#status+code,#status+name,,,#date+year,,#region+code,#region+name,,,#date+year+start,#date+year+end,,,#country+code,#country+name,,,,,#sex+code,#sex+name,,,,,,,,,#indicator+value+num,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,VNM,Viet Nam,,,,,,,,GHE060,Noncommunicable diseases,,,,,"20,119",20119.17969,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,,,,,GHE000,All Causes,,,,,"29,226",29225.60938,,,,,
GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/157,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,,,,,GHE060,Noncommunicable diseases,,,,,"19,555",19554.59961,,,,,
WHS2_126,Distribution of years of life lost by major cause group,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/90,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,,,,,GHE060,Noncommunicable diseases,,,,,60,60.00000,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,,MLE,Male,,,,,,,,199,198.68380,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2001,2001,,WPR,Western Pacific,,,2001,2001,,,VNM,Viet Nam,,,,,BTSX,Both sexes,,,,,,,,138,137.57920,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,,MLE,Male,,,,,,,,200,199.77080,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2004,2004,,WPR,Western Pacific,,,2004,2004,,,VNM,Viet Nam,,,,,BTSX,Both sexes,,,,,,,,137,136.74290,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2006,2006,,WPR,Western Pacific,,,2006,2006,,,VNM,Viet Nam,,,,,FMLE,Female,,,,,,,,72,72.35218,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2007,2007,,WPR,Western Pacific,,,2007,2007,,,VNM,Viet Nam,,,,,MLE,Male,,,,,,,,201,200.84650,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2009,2009,,WPR,Western Pacific,,,2009,2009,,,VNM,Viet Nam,,,,,FMLE,Female,,,,,,,,70,69.85898,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,VNM,Viet Nam,,,,,MLE,Male,,,,,,,,194,193.79110,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,VNM,Viet Nam,,,,,FMLE,Female,,,,,,,,69,69.09167,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,,2013,2013,,,VNM,Viet Nam,,,,,MLE,Male,,,,,,,,189,188.75130,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,VNM,Viet Nam,,,,,BTSX,Both sexes,,,,,,,,128,127.84870,,,,,
WHOSIS_000004,Adult mortality rate (probability of dying between 15 and 60 years per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/64,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,VNM,Viet Nam,,,,,FMLE,Female,,,,,,,,67,67.26175,,,,,
